TEST:
=====

Tuned:
-------
commit_id,run,llm,posts val_f1,posts f1_binary,posts f1_categorical,comments val_f1,comments f1_binary,comments f1_categorical
27f6221,1,qwen,0.7179,0.7449,0.6586,0.5621,0.5833,0.5156
27f6221,1,mistral,0.6962,0.7807,0.5328,0.6569,0.7190,0.5320
27f6221,1,llama,0.7396,0.7982,0.6190,0.6332,0.6612,0.5726
27f6221,2,qwen,0.6905,0.7363,0.5944,0.5816,0.6154,0.5099
27f6221,2,mistral,0.7102,0.8087,0.5244,0.6598,0.7368,0.5099
27f6221,2,llama,0.7150,0.7568,0.6264,0.6338,0.6639,0.5686
27f6221,3,qwen,0.6877,0.7143,0.6295,0.5808,0.6054,0.5272
27f6221,3,mistral,0.7104,0.7965,0.5440,0.6775,0.7395,0.5523
27f6221,3,llama,0.7349,0.7926,0.6160,0.6049,0.6240,0.5626

Zero-shot:
-----------
commit_id,run,llm,posts val_f1_zs,posts f1_zs,posts f1_cat_zs,comments val_f1_zs,comments f1_zs,comments f1_cat_zs
27f6221,1,qwen,0.5918,0.6182,0.5346,0.5046,0.5119,0.4880
27f6221,1,mistral,0.6790,0.7283,0.5767,0.6061,0.6552,0.5054
27f6221,1,llama,0.6792,0.7368,0.5617,0.5210,0.5193,0.5250
27f6221,2,qwen,0.5918,0.6182,0.5346,0.5071,0.5146,0.4899
27f6221,2,mistral,0.6795,0.7209,0.5919,0.6248,0.6780,0.5164
27f6221,2,llama,0.6653,0.7294,0.5368,0.5060,0.5056,0.5069
27f6221,3,qwen,0.5977,0.6265,0.5354,0.5113,0.5207,0.4899
27f6221,3,mistral,0.6848,0.7283,0.5929,0.6221,0.6743,0.5154
27f6221,3,llama,0.6718,0.7368,0.5414,0.5060,0.5056,0.5069

OD:
===

Tuned:
-------
commit_id,run,llm,posts val_f1,posts f1_binary,posts f1_categorical,comments val_f1,comments f1_binary,comments f1_categorical
27f6221,1,qwen,0.6942,0.7686,0.5475,0.5707,0.6091,0.4903
27f6221,1,mistral,0.6512,0.7474,0.4722,0.6693,0.7400,0.5294
27f6221,1,llama,0.6997,0.8030,0.5074,0.5877,0.6132,0.5320
27f6221,2,qwen,0.6940,0.7611,0.5594,0.5852,0.6240,0.5038
27f6221,2,mistral,0.6112,0.7222,0.4140,0.6420,0.7230,0.4866
27f6221,2,llama,0.6984,0.7893,0.5250,0.5889,0.6268,0.5092
27f6221,3,qwen,0.6889,0.7819,0.5126,0.6053,0.6553,0.5030
27f6221,3,mistral,0.6279,0.7440,0.4226,0.6568,0.7407,0.4962
27f6221,3,llama,0.7058,0.7905,0.5417,0.5860,0.6370,0.4823

Zero-shot:
-----------
commit_id,run,llm,posts val_f1_zs,posts f1_zs,posts f1_cat_zs,comments val_f1_zs,comments f1_zs,comments f1_cat_zs
27f6221,1,qwen,0.6601,0.6863,0.6027,0.5172,0.5641,0.4223
27f6221,1,mistral,0.6988,0.7075,0.6788,0.6320,0.7078,0.4851
27f6221,1,llama,0.6702,0.7418,0.5288,0.5460,0.5364,0.5691
27f6221,2,qwen,0.6497,0.6863,0.5716,0.5341,0.5787,0.4431
27f6221,2,mistral,0.7004,0.7204,0.6558,0.6322,0.7107,0.4810
27f6221,2,llama,0.6805,0.7512,0.5404,0.5398,0.5364,0.5480
27f6221,3,qwen,0.6601,0.6863,0.6027,0.5242,0.5685,0.4336
27f6221,3,mistral,0.7003,0.7143,0.6687,0.6276,0.7083,0.4732
27f6221,3,llama,0.6783,0.7477,0.5405,0.5381,0.5273,0.5643

