Dataset	Run	val_f1	f1_binary	f1_categorical
posts-llama	1	0.7646	0.8103	0.6678
	2	0.7646	0.8103	0.6678
	3	0.7646	0.8103	0.6678
	mean±std	0.7646±0.0000	0.8103±0.0000	0.6678±0.0000
posts-mistral	1	0.6992	0.7676	0.5625
	2	0.6992	0.7676	0.5625
	3	0.6992	0.7676	0.5625
	mean±std	0.6992±0.0000	0.7676±0.0000	0.5625±0.0000
posts-qwen	1	0.6531	0.73	0.5036
	2	0.6531	0.73	0.5036
	3	0.6531	0.73	0.5036
	mean±std	0.6531±0.0000	0.7300±0.0000	0.5036±0.0000
comments-llama	1	0.4746	0.5581	0.325
	2	0.4746	0.5581	0.325
	3	0.4746	0.5581	0.325
	mean±std	0.4746±0.0000	0.5581±0.0000	0.3250±0.0000
comments-mistral	1	0.5392	0.6012	0.4185
	2	0.5392	0.6012	0.4185
	3	0.5392	0.6012	0.4185
	mean±std	0.5392±0.0000	0.6012±0.0000	0.4185±0.0000
comments-qwen	1	0.4173	0.4945	0.2809
	2	0.4173	0.4945	0.2809
	3	0.4173	0.4945	0.2809
	mean±std	0.4173±0.0000	0.4945±0.0000	0.2809±0.0000
				
OOD				
				
Dataset	Run	val_f1	f1_binary	f1_categorical
posts-llama	
    1	0.6247	0.6635	0.5429
	2	0.6247	0.6635	0.5429
	3	0.6247	0.6635	0.5429
	mean±std	0.6247±0.0000	0.6635±0.0000	0.5429±0.0000
posts-mistral	
    1	0.5832	0.6495	0.4536
	2	0.5832	0.6495	0.4536
	3	0.5832	0.6495	0.4536
	mean±std	0.5832±0.0000	0.6495±0.0000	0.4536±0.0000
posts-qwen	
    1	0.6791	0.7149	0.6023
	2	0.6791	0.7149	0.6023
	3	0.6791	0.7149	0.6023
	mean±std	0.6791±0.0000	0.7149±0.0000	0.6023±0.0000
comments-llama	
    1	0.4416	0.4689	0.384
	2	0.4416	0.4689	0.384
	3	0.4416	0.4689	0.384
	mean±std	0.4416±0.0000	0.4689±0.0000	0.3840±0.0000
comments-mistral	
    1	0.4886	0.5373	0.3915
	2	0.4886	0.5373	0.3915
	3	0.4886	0.5373	0.3915
	mean±std	0.4886±0.0000	0.5373±0.0000	0.3915±0.0000
comments-qwen	
    1	0.4691	0.5123	0.3818
	2	0.4691	0.5123	0.3818
	3	0.4691	0.5123	0.3818
	mean±std	0.4691±0.0000	0.5123±0.0000	0.3818±0.0000
