exp	train_posts	train_comments	train_all	test_avg_posts	test_std_posts	test_avg_comments	test_std_comments	test_avg_all	n_posts	n_comments
0	0.5847	0.5439	0.5640	0.5724	0.0704	0.5438	0.1089	0.5581	9	9
2	0.6496	0.6209	0.6147	0.6914	0.0293	0.6075	0.0644	0.6494	9	9
4	0.6996	0.6553	0.6813	0.6804	0.0277	0.6250	0.0495	0.6527	9	9
10	0.7458	0.6252	0.6873	0.6988	0.0205	0.5823	0.0579	0.6406	9	9
25	0.7604	0.6258	0.6922	0.6978	0.0241	0.5729	0.0666	0.6353	9	9
29	0.7690	0.6231	0.6981	0.6995	0.0276	0.5867	0.0539	0.6431	9	9
55	0.7444	0.6328	0.6890	0.7194	0.0378	0.5811	0.0783	0.6502	9	9
73	0.7487	0.6550	0.7100	0.6962	0.0315	0.5744	0.0876	0.6353	9	9
76	0.7629	0.6608	0.7117	0.7290	0.0266	0.5996	0.0698	0.6643	9	9
78	0.7694	0.6256	0.7024	0.7310	0.0284	0.6043	0.0845	0.6677	9	9

