Zero-shot [TEST]:
run	llm	posts val_f1	posts f1_binary	posts f1_categorical		comments val_f1	comments f1_binary	comments f1_categorical
1	qwen	0.5745	0.6467	0.4359		0.4565	0.4161	0.5667
1	mistral	0.6831	0.7126	0.6190		0.5725	0.5786	0.5586
1	llama	0.7036	0.7541	0.5985		0.5014	0.4795	0.5563
2	qwen	0.5975	0.6265	0.5348		0.4565	0.4161	0.5667
2	mistral	0.6884	0.7200	0.6198		0.5827	0.6049	0.5341
2	llama	0.6506	0.7419	0.4788		0.5014	0.4795	0.5563
3	qwen	0.6098	0.6386	0.5476		0.4719	0.4400	0.5558
3	mistral	0.6794	0.7191	0.5951		0.5849	0.5963	0.5593
3	llama	0.7036	0.7541	0.5985		0.5014	0.4795	0.5563

Zero-shot [OOD]:
run	llm	posts val_f1	posts f1_binary	posts f1_categorical		comments val_f1	comments f1_binary	comments f1_categorical
1	qwen	0.6609	0.6763	0.6263		0.5316	0.5408	0.5109
1	mistral	0.6575	0.6937	0.5802		0.5732	0.6518	0.4247
1	llama	0.6984	0.7523	0.5872		0.5254	0.5297	0.5156
2	qwen	0.6609	0.6763	0.6263		0.5298	0.5381	0.5109
2	mistral	0.6411	0.6964	0.5284		0.5714	0.6489	0.4247
2	llama	0.6899	0.7411	0.5838		0.5254	0.5297	0.5156
3	qwen	0.6565	0.6699	0.6263		0.5298	0.5381	0.5109
3	mistral	0.6575	0.6937	0.5802		0.5732	0.6518	0.4247
3	llama	0.7007	0.7558	0.5872		0.5254	0.5297	0.5156

Self-consistency [TEST]:
run	llm	posts val_f1	posts f1_binary	posts f1_categorical		comments val_f1	comments f1_binary	comments f1_categorical
1	qwen	0.5975	0.6265	0.5348		0.4602	0.4295	0.5407
1	mistral	0.6843	0.7119	0.6240		0.5847	0.5912	0.5697
1	llama	0.7110	0.7582	0.6119		0.5102	0.4795	0.5896
2	qwen	0.6014	0.6265	0.5467		0.4587	0.4189	0.5667
2	mistral	0.6956	0.7263	0.6291		0.5821	0.5875	0.5697
2	llama	0.7089	0.7556	0.6110		0.5034	0.4824	0.5563
3	qwen	0.6072	0.6347	0.5476		0.4587	0.4189	0.5667
3	mistral	0.6921	0.7232	0.6246		0.5821	0.5875	0.5697
3	llama	0.7062	0.7514	0.6110		0.5024	0.4706	0.5853

Self-consistency [OOD]:
run	llm	posts val_f1	posts f1_binary	posts f1_categorical		comments val_f1	comments f1_binary	comments f1_categorical
1	qwen	0.6709	0.6825	0.6447		0.5362	0.5389	0.5299
1	mistral	0.6533	0.7059	0.5455		0.5671	0.6429	0.4232
1	llama	0.7049	0.7636	0.5848		0.5288	0.5346	0.5156
2	qwen	0.6711	0.6887	0.6319		0.5303	0.5361	0.5172
2	mistral	0.6604	0.6968	0.5826		0.5668	0.6306	0.4418
2	llama	0.7014	0.7500	0.5998		0.5271	0.5321	0.5156
3	qwen	0.6659	0.6825	0.6288		0.5336	0.5436	0.5109
3	mistral	0.6594	0.7000	0.5735		0.5671	0.6429	0.4232
3	llama	0.7048	0.7465	0.6164		0.5288	0.5346	0.5156

Chain-of-thought [TEST]:
run	llm	posts val_f1	posts f1_binary	posts f1_categorical		comments val_f1	comments f1_binary	comments f1_categorical
1	qwen	0.5430	0.5714	0.4821		0.4000	0.3919	0.4197
1	mistral	0.5801	0.6220	0.4932		0.5155	0.5375	0.4677
1	llama	0.5644	0.6341	0.4301		0.4234	0.3896	0.5142
2	qwen	0.5591	0.5912	0.4909		0.3982	0.3893	0.4197
2	mistral	0.5793	0.6303	0.4759		0.5087	0.5250	0.4728
2	llama	0.5335	0.6220	0.3730		0.4329	0.3816	0.5810
3	qwen	0.5644	0.6087	0.4731		0.3908	0.3867	0.4006
3	mistral	0.6002	0.6228	0.5506		0.5039	0.5399	0.4291
3	llama	0.5367	0.6098	0.3985		0.4419	0.3871	0.6018

Chain-of-thought [OOD]:
run	llm	posts val_f1	posts f1_binary	posts f1_categorical		comments val_f1	comments f1_binary	comments f1_categorical
1	qwen	0.6145	0.6275	0.5854		0.4839	0.4712	0.5149
1	mistral	0.6005	0.6392	0.5191		0.5867	0.5953	0.5669
1	llama	0.6107	0.6798	0.4755		0.4746	0.4857	0.4497
2	qwen	0.6139	0.6176	0.6053		0.4518	0.4565	0.4410
2	mistral	0.6179	0.6497	0.5494		0.6046	0.6083	0.5962
2	llama	0.6271	0.6869	0.5070		0.4504	0.4466	0.4593
3	qwen	0.6082	0.6214	0.5787		0.4799	0.4731	0.4961
3	mistral	0.6197	0.6633	0.5288		0.6018	0.6111	0.5808
3	llama	0.6231	0.6961	0.4811		0.4572	0.4638	0.4423

Self-refine [TEST]:
run	llm	posts val_f1	posts f1_binary	posts f1_categorical		comments val_f1	comments f1_binary	comments f1_categorical
1	qwen	0.6168	0.6514	0.5429		0.4286	0.4339	0.4167
1	mistral	0.6720	0.6971	0.6168		0.5219	0.4894	0.6065
1	llama	0.5790	0.6735	0.4069		0.3913	0.4664	0.2597
2	qwen	0.5673	0.6591	0.3998		0.4192	0.4545	0.3471
2	mistral	0.6689	0.6889	0.6244		0.4641	0.4873	0.4141
2	llama	0.5510	0.6400	0.3886		0.4009	0.4505	0.3054
3	qwen	0.5934	0.6444	0.4894		0.4430	0.4560	0.4142
3	mistral	0.5921	0.7000	0.4006		0.4707	0.4821	0.4451
3	llama	0.6169	0.6947	0.4674		0.3892	0.4375	0.2963

Self-refine [OOD]:
run	llm	posts val_f1	posts f1_binary	posts f1_categorical		comments val_f1	comments f1_binary	comments f1_categorical
1	qwen	0.6552	0.6544	0.6572		0.4134	0.4809	0.2905
1	mistral	0.6082	0.6376	0.5450		0.4565	0.5600	0.2834
1	llama	0.6737	0.7207	0.5755		0.4973	0.5000	0.4909
2	qwen	0.6197	0.6635	0.5285		0.4089	0.5019	0.2535
2	mistral	0.6437	0.6522	0.6244		0.5418	0.5556	0.5109
2	llama	0.6694	0.6996	0.6041		0.4528	0.5019	0.3562
3	qwen	0.6604	0.6667	0.6461		0.4269	0.4903	0.3092
3	mistral	0.6055	0.6288	0.5544		0.4934	0.5613	0.3652
3	llama	0.5951	0.7273	0.3727		0.4651	0.5188	0.3603

